orig_index,label,type,host
3130,m101_2011fe_51,CAL,m101
3131,m101_2011fe_56,CAL,m101
3132,m1337_2006D_57,CAL,m1337
3133,m1337_2006D_5,CAL,m1337
3134,m1337_2006D_64,CAL,m1337
3135,n0691_2005W_5,CAL,n0691
3136,n1015_2009ig_51,CAL,n1015
3137,n1015_2009ig_56,CAL,n1015
3138,n1015_2009ig_66,CAL,n1015
3139,n105a_2007A_5,CAL,n105a
3140,n105a_2007A_65,CAL,n105a
3141,n1309_2002fk_57,CAL,n1309
3142,n1309_2002fk_63,CAL,n1309
3143,n1365_2012fr_56,CAL,n1365
3144,n1365_2012fr_5,CAL,n1365
3145,n1448_2001el_50,CAL,n1448
3146,n1448_2021pit_56,CAL,n1448
3147,n1559_2005df_50,CAL,n1559
3149,n2442_2015F_56,CAL,n2442
3150,n2442_2015F_5,CAL,n2442
3151,n2525_2018gv_51,CAL,n2525
3152,n2525_2018gv_150,CAL,n2525
3153,n2525_2018gv_18,CAL,n2525
3154,n2608_2001bg_57,CAL,n2608
3155,n3021_1995al_61,CAL,n3021
3157,n3147_1997bq_62,CAL,n3147
3158,n3147_2021hpr_57,CAL,n3147
3159,n3254_2019np_150,CAL,n3254
3160,n3254_2019np_18,CAL,n3254
3161,n3370_1994ae_61,CAL,n3370
3162,n3447_2012ht_56,CAL,n3447
3163,n3447_2012ht_5,CAL,n3447
3164,n3583_ASASSN-15so_150,CAL,n3583
3165,n3972_2011by_51,CAL,n3972
3166,n3982_1998aq_50,CAL,n3982
3167,n4038_2007sr_57,CAL,n4038
3168,n4038_2007sr_64,CAL,n4038
3169,n4424_2012cg_51,CAL,n4424
3170,n4424_2012cg_56,CAL,n4424
3171,n4536_1981B_50,CAL,n4536
3172,n4639_1990N_50,CAL,n4639
3173,n4680_1997bp_62,CAL,n4680
3174,n5468_2002cr_57,CAL,n5468
3175,n5468_2002cr_63,CAL,n5468
3176,n5468_1999cp_57,CAL,n5468
3177,n5468_1999cp_50,CAL,n5468
3178,n5584_2007af_57,CAL,n5584
3179,n5584_2007af_56,CAL,n5584
3180,n5584_2007af_5,CAL,n5584
3181,n5584_2007af_64,CAL,n5584
3182,n5643_2013aa_56,CAL,n5643
3183,n5643_2013aa_5,CAL,n5643
3184,n5643_2017cbv_5,CAL,n5643
3185,n5643_2017cbv_18,CAL,n5643
3186,n5728_2009Y_56,CAL,n5728
3187,n5728_2009Y_5,CAL,n5728
3188,n5728_2009Y_65,CAL,n5728
3189,n5861_2017erp_51,CAL,n5861
3190,n5861_2017erp_150,CAL,n5861
3191,n5861_2017erp_18,CAL,n5861
3192,n5917_2005cf_57,CAL,n5917
3193,n5917_2005cf_56,CAL,n5917
3194,n5917_2005cf_64,CAL,n5917
3195,n7250_2013dy_51,CAL,n7250
3196,n7250_2013dy_56,CAL,n7250
3197,n7329_2006bh_5,CAL,n7329
3198,n7541_1998dh_57,CAL,n7541
3199,n7541_1998dh_62,CAL,n7541
3200,n7678_2002dp_57,CAL,n7678
3201,n7678_2002dp_63,CAL,n7678
3202,n976a_1999dq_57,CAL,n976a
3203,n976a_1999dq_62,CAL,n976a
3204,u9391_2003du_57,CAL,u9391
3205,u9391_2003du_63,CAL,u9391
3206,u9391_2003du_50,CAL,u9391
3215,2000dn_57,HF,
3216,2001eh_57,HF,
3217,2002de_57,HF,
3218,2003fa_57,HF,
3219,2004ef_57,HF,
3220,2002eb_57,HF,
3221,2003gn_57,HF,
3222,2003he_57,HF,
3223,2005M_57,HF,
3224,2006gr_57,HF,
3225,2007co_57,HF,
3226,2001cj_57,HF,
3227,2004as_57,HF,
3228,2004bk_57,HF,
3229,2005na_57,HF,
3230,2007cq_57,HF,
3231,2007O_57,HF,
3232,1999gp_57,HF,
3233,2000cw_57,HF,
3234,2001ck_57,HF,
3235,2005eq_57,HF,
3236,2006ac_57,HF,
3237,2006en_57,HF,
3238,2007qe_57,HF,
3239,2008ar_57,HF,
3240,2008dr_57,HF,
3241,2007jg_51,HF,
3242,2008gp_51,HF,
3243,2007kk_51,HF,
3244,2008gg_51,HF,
3245,2009D_51,HF,
3246,2010ao_51,HF,
3247,2014bj_51,HF,
3248,2007F_51,HF,
3249,2008eq_51,HF,
3250,2008Y_51,HF,
3251,2012bh_51,HF,
3252,2016fbk_51,HF,
3253,2007bd_51,HF,
3254,2010ii_51,HF,
3255,PS1-14xw_56,HF,
3256,2007cq_56,HF,
3257,2011hb_56,HF,
3258,2009cz_56,HF,
3259,2013fn_56,HF,
3260,2011dn_56,HF,
3261,LSQ12gdj_56,HF,
3262,2007co_56,HF,
3263,2005hj_5,HF,
3264,2008hj_5,HF,
3265,2008cf_5,HF,
3266,2008gg_5,HF,
3267,2005eq_5,HF,
3268,2005ir_5,HF,
3269,2007jg_5,HF,
3270,2009D_5,HF,
3271,2008bz_5,HF,
3272,2007ux_5,HF,
3273,2009ad_5,HF,
3274,2005ag_5,HF,
3275,2005na_5,HF,
3276,2006ot_5,HF,
3277,2006lu_5,HF,
3278,2004ef_5,HF,
3279,2009cz_5,HF,
3280,2005hc_5,HF,
3281,2009aa_5,HF,
3282,2005bg_5,HF,
3283,2005iq_5,HF,
3284,2007bd_5,HF,
3285,2005ku_5,HF,
3286,2008bq_5,HF,
3287,2008ar_5,HF,
3288,2005M_5,HF,
3289,2007hx_5,HF,
3290,2001eh_63,HF,
3291,2003cq_63,HF,
3292,2004L_63,HF,
3293,2006gr_64,HF,
3294,2007qe_64,HF,
3295,2005eq_64,HF,
3296,2007ae_64,HF,
3297,2007bd_64,HF,
3298,2003fa_63,HF,
3299,2004as_63,HF,
3300,2006sr_64,HF,
3301,2006az_64,HF,
3302,2001ah_63,HF,
3303,2005hc_64,HF,
3304,2006S_64,HF,
3305,2006cf_64,HF,
3306,2006te_64,HF,
3307,2003it_63,HF,
3308,2004ef_64,HF,
3309,2005lz_64,HF,
3310,2006en_64,HF,
3311,2006oa_64,HF,
3312,2007F_64,HF,
3313,2001az_63,HF,
3314,2005M_64,HF,
3315,2006ac_64,HF,
3316,2003kc_63,HF,
3317,2005ms_64,HF,
3318,2007co_64,HF,
3319,2002hu_63,HF,
3320,2005iq_64,HF,
3321,2007O_64,HF,
3322,2005na_64,HF,
3323,2006cq_64,HF,
3324,2007cq_64,HF,
3325,2010dt_66,HF,
3326,1995ac_61,HF,
3327,1999gp_62,HF,
3328,2007sw_65,HF,
3329,2009D_65,HF,
3330,1999cc_62,HF,
3331,2008ar_65,HF,
3332,2008050_65,HF,
3333,1996C_61,HF,
3334,2007kh_65,HF,
3335,2009ad_65,HF,
3336,2008051_65,HF,
3337,2007kk_65,HF,
3338,2008fr_65,HF,
3339,2000cf_62,HF,
3340,2008gb_65,HF,
3341,1998ab_62,HF,
3342,2008Y_65,HF,
3343,2009bv_65,HF,
3344,2008bz_65,HF,
3345,2008hj_65,HF,
3346,2010ag_66,HF,
3347,2009do_65,HF,
3348,2007is_65,HF,
3349,2008cf_65,HF,
3350,1994T_61,HF,
3351,1996bl_61,HF,
3352,000190_15,HF,
3353,010026_15,HF,
3354,160099_15,HF,
3355,180166_15,HF,
3356,490008_15,HF,
3357,340229_15,HF,
3358,370333_15,HF,
3359,000014_15,HF,
3360,020027_15,HF,
3361,560033_15,HF,
3362,500038_15,HF,
3363,350316_15,HF,
3364,360156_15,HF,
3365,090275_15,HF,
3366,190340_15,HF,
3367,370066_15,HF,
3368,590194_15,HF,
3369,140181_15,HF,
3370,300105_15,HF,
3371,490007_15,HF,
3372,2992_1,HF,
3373,13796_1,HF,
3374,14024_1,HF,
3375,14871_1,HF,
3376,17497_1,HF,
3377,19775_1,HF,
3378,15171_1,HF,
3379,17629_1,HF,
3380,744_1,HF,
3381,15234_1,HF,
3382,18602_1,HF,
3383,19543_1,HF,
3384,6057_1,HF,
3385,12950_1,HF,
3386,13736_1,HF,
3387,16021_1,HF,
3388,6406_1,HF,
3389,8719_1,HF,
3390,15508_1,HF,
3391,20625_1,HF,
3392,1794_1,HF,
3393,2635_1,HF,
3394,17366_1,HF,
3395,18855_1,HF,
3396,20084_1,HF,
3397,5395_1,HF,
3398,18612_1,HF,
3399,21034_1,HF,
3400,1241_1,HF,
3401,8921_1,HF,
3402,12779_1,HF,
3403,13044_1,HF,
3404,18697_1,HF,
3405,19953_1,HF,
3406,2561_1,HF,
3407,3592_1,HF,
3408,18650_1,HF,
3409,ASASSN-15hg_150,HF,
3410,ASASSN-15mg_150,HF,
3411,ASASSN-15pr_150,HF,
3412,ASASSN-15ss_150,HF,
3413,ASASSN-15tz_150,HF,
3414,ASASSN-16hr_150,HF,
3415,ASASSN-16oz_150,HF,
3416,AT2016cvv_150,HF,
3417,AT2016htm_150,HF,
3418,ATLAS17bas_150,HF,
3419,Gaia16bba_150,HF,
3420,MASTERJ0134_150,HF,
3421,PS15asb_150,HF,
3422,PS15bzz_150,HF,
3423,PS15cms_150,HF,
3424,PS15cze_150,HF,
3425,PS16axi_150,HF,
3426,PS16cvc_150,HF,
3427,PS16fbb_150,HF,
3428,PS17bii_150,HF,
3429,PTSS-16efw_150,HF,
3430,SN2016gmb_150,HF,
3431,SN2016hpx_150,HF,
3432,ASASSN-15fs_150,HF,
3433,ASASSN-15mi_150,HF,
3434,ASASSN-15nr_150,HF,
3435,ASASSN-15pm_150,HF,
3436,ASASSN-15sf_150,HF,
3437,ASASSN-15tg_150,HF,
3438,ASASSN-16dw_150,HF,
3439,ASASSN-16hz_150,HF,
3440,AT2016htn_150,HF,
3441,AT2017yk_150,HF,
3442,Gaia16agf_150,HF,
3443,PS15ahs_150,HF,
3444,PS15bsq_150,HF,
3445,PS16ayd_150,HF,
3446,PS16ccn_150,HF,
3447,PS16dnp_150,HF,
3448,PS16evk_150,HF,
3449,PSNJ0153424_150,HF,
3450,PSNJ0859349_150,HF,
3451,SN2016glp_150,HF,
3452,SN2016grz_150,HF,
3453,SN2016ixf_150,HF,
3454,SN2017mf_150,HF,
3455,ASASSN-15bc_150,HF,
3456,ASASSN-15jl_150,HF,
3457,ASASSN-15la_150,HF,
3458,ASASSN-15np_150,HF,
3459,ASASSN-16db_150,HF,
3460,ASASSN-16hc_150,HF,
3461,ASASSN-17at_150,HF,
3462,AT2016hns_150,HF,
3463,AT2017lm_150,HF,
3464,AT2017po_150,HF,
3465,ATLAS17axb_150,HF,
3466,CSS160428_150,HF,
3467,Gaia16aki_150,HF,
3468,iPTF17dz_150,HF,
3469,PS15aii_150,HF,
3470,PS15bbn_150,HF,
3471,PS15bwh_150,HF,
3472,PS16aer_150,HF,
3473,PS16el_150,HF,
3474,PS16fa_150,HF,
3475,PS17akj_150,HF,
3476,PSNJ0252467_150,HF,
3477,PSNJ1204051_150,HF,
3478,SN2017cii_150,HF,
3479,SN2017hn_150,HF,
3480,SN2017ms_150,HF,
3481,ASASSN-16hh_18,HF,
3482,1992bl_50,HF,
3483,1993B_50,HF,
3484,1992bs_50,HF,
3485,2000bh_50,HF,
3486,1992bg_50,HF,
3487,1992bh_50,HF,
3488,2000ca_50,HF,
3489,2002bf_50,HF,
3490,1990O_50,HF,
3491,1992P_50,HF,
