filename,source,galaxy,hst_program,ra_field_deg,dec_field_deg,instrument,blue_filter,red_filter,notes
M66_10433.csv,EDD,M66,10433,169.99833,12.99111,HST/ACS/WFC,F555W,F814W,Sparse CMD; TRGB detection uncertain
M66_13691.csv,EDD,M66,13691,170.13083,12.99589,HST/ACS/WFC,F606W,F814W,Images contain streaks; data quality compromised
M66_15654.csv,EDD,M66,15654,170.0921,12.9051,HST/ACS/WFC,F606W,F814W,
M96_13691.csv,EDD,M96,13691,161.76833,11.82444,HST/ACS/WFC,F606W,F814W,
M101_9492.csv,EDD,M101,9492,210.62753,54.45716,HST/ACS/WFC,F555W,F814W,
M101_13691.csv,EDD,M101,13691,210.82838,54.15568,HST/ACS/WFC,F606W,F814W,Field centered on outer disk region rather than halo
NGC1309_10497.csv,EDD,NGC1309,10497,50.52731,-15.39994,HST/ACS/WFC,F555W,F814W,
NGC1316_13691.csv,EDD,NGC1316,13691,50.80217,-37.32267,HST/ACS/WFC,F606W,F814W,
NGC1365_13691.csv,EDD,NGC1365,13691,53.46428,-36.20139,HST/ACS/WFC,F606W,F814W,
NGC1404_15642.csv,EDD,NGC1404,15642,54.69468,-35.56787,HST/ACS/WFC,F606W,F814W,Galaxy center contributes contaminating stars; careful spatial clipping required
NGC1448_13691.csv,EDD,NGC1448,13691,56.11078,-44.60395,HST/ACS/WFC,F606W,F814W,
NGC3021_10497.csv,EDD,NGC3021,10497,147.73811,33.55359,HST/ACS/WFC,F555W,F814W,Extremely sparse CMD; very few RGB stars
NGC3370_9351.csv,EDD,NGC3370,9351,161.76697,17.27370,HST/ACS/WFC,F555W,F814W,Disk field with negligible halo coverage
NGC4038_10580.csv,EDD,NGC4038,10580,180.36046,-18.98926,HST/ACS/WFC,F606W,F814W,
NGC4258_9477.csv,EDD,NGC4258,9477,184.82917,47.33333,HST/ACS/WFC,F555W,F814W,
NGC4258_16198.csv,EDD,NGC4258,16198,184.64044,47.24868,HST/ACS/WFC,F606W,F814W,
NGC4424_13691.csv,EDD,NGC4424,13691,186.80166,9.45888,HST/ACS/WFC,F606W,F814W,
NGC4526_13691.csv,EDD,NGC4526,13691,188.51580,7.75325,HST/ACS/WFC,F606W,F814W,
NGC4536_13691.csv,EDD,NGC4536,13691,188.58801,2.14468,HST/ACS/WFC,F606W,F814W,
NGC5584_11570.csv,EDD,NGC5584,11570,215.59921,-0.38745,HST/WFC3/UVIS,F555W,F814W,Disk field with negligible halo coverage; obtained with WFC3/UVIS (not ACS/WFC) — different pixel scale and photometric system from all other fields
NGC5643_15642.csv,EDD,NGC5643,15642,218.14211,-44.11499,HST/ACS/WFC,F606W,F814W,
NGC7814_10889.csv,EDD,NGC7814,10889,0.81391,16.07154,HST/ACS/WFC,F606W,F814W,
M66_10p.csv,CATS,M66,13691,170.131,12.996,HST/ACS/WFC,F606W,F814W,May include data from the streaked M66_13691 field (see EDD entry)
M96_10p.csv,CATS,M96,13691,161.768,11.825,HST/ACS/WFC,F606W,F814W,
M101_10p.csv,CATS,M101,13691,210.828,54.156,HST/ACS/WFC,F606W,F814W,
NGC1309_10p.csv,CATS,NGC1309,10497,50.52731,-15.39994,HST/ACS/WFC,F555W,F814W,Excluded from CATS H0 analysis: no reliable TRGB detection (R<2); original observations targeted the disk for Cepheid measurements with negligible clean halo coverage (Scolnic et al. 2023)
NGC1316_10p.csv,CATS,NGC1316,13691,50.802,-37.323,HST/ACS/WFC,F606W,F814W,
NGC1365_10p.csv,CATS,NGC1365,13691,53.464,-36.201,HST/ACS/WFC,F606W,F814W,
NGC1404_10p.csv,CATS,NGC1404,15642,54.695,-35.568,HST/ACS/WFC,F606W,F814W,Galaxy center contributes contaminating stars; careful spatial clipping required
NGC1448_10p.csv,CATS,NGC1448,13691,56.111,-44.604,HST/ACS/WFC,F606W,F814W,
NGC3021_10p.csv,CATS,NGC3021,10497,147.73811,33.55359,HST/ACS/WFC,F555W,F814W,Excluded from CATS H0 analysis: no reliable TRGB detection (R<2); original observations targeted the disk for Cepheid measurements with negligible clean halo coverage (Scolnic et al. 2023)
NGC3370_10p.csv,CATS,NGC3370,9351,161.76697,17.27370,HST/ACS/WFC,F555W,F814W,Excluded from CATS H0 analysis: no reliable TRGB detection (R<2); original observations targeted the disk for Cepheid measurements with negligible clean halo coverage (Scolnic et al. 2023)
NGC4038_10p.csv,CATS,NGC4038,10580,180.360,-18.989,HST/ACS/WFC,F606W,F814W,
NGC4258-1_10p.csv,CATS,NGC4258,9477,184.829,47.333,HST/ACS/WFC,F555W,F814W,
NGC4258-2_10p.csv,CATS,NGC4258,9477,184.673,47.492,HST/ACS/WFC,F555W,F814W,
NGC4258-3_10p.csv,CATS,NGC4258,9477,184.840,47.450,HST/ACS/WFC,F555W,F814W,
NGC4258-4_G1_10p.csv,CATS,NGC4258,9477,184.879,47.353,HST/ACS/WFC,F555W,F814W,
NGC4258-4_G2_10p.csv,CATS,NGC4258,9477,184.918,47.320,HST/ACS/WFC,F555W,F814W,
NGC4258-5_10p.csv,CATS,NGC4258,16198,184.641,47.249,HST/ACS/WFC,F606W,F814W,
NGC4258-6_10p.csv,CATS,NGC4258,16198,184.901,47.243,HST/ACS/WFC,F606W,F814W,
NGC4258-7_10p.csv,CATS,NGC4258,16198,184.852,47.323,HST/ACS/WFC,F606W,F814W,
NGC4258-8_10p.csv,CATS,NGC4258,16198,184.978,47.237,HST/ACS/WFC,F606W,F814W,
NGC4258-9_10p.csv,CATS,NGC4258,16198,184.977,47.332,HST/ACS/WFC,F606W,F814W,
NGC4258-10_10p.csv,CATS,NGC4258,16198,184.607,47.209,HST/ACS/WFC,F606W,F814W,
NGC4424_10p.csv,CATS,NGC4424,13691,186.802,9.459,HST/ACS/WFC,F606W,F814W,
NGC4526_10p.csv,CATS,NGC4526,13691,188.516,7.753,HST/ACS/WFC,F606W,F814W,
NGC4536_10p.csv,CATS,NGC4536,13691,188.588,2.145,HST/ACS/WFC,F606W,F814W,
NGC5584_10p.csv,CATS,NGC5584,11570,215.59921,-0.38745,HST/WFC3/UVIS,F555W,F814W,Excluded from CATS H0 analysis: no reliable TRGB detection (R<2); original observations targeted the disk for Cepheid measurements with negligible clean halo coverage (Scolnic et al. 2023); obtained with WFC3/UVIS (not ACS/WFC)
NGC5643_10p.csv,CATS,NGC5643,15642,218.142,-44.115,HST/ACS/WFC,F606W,F814W,
NGC7814_10p.csv,CATS,NGC7814,10889,0.814,16.071,HST/ACS/WFC,F606W,F814W,
