host,mu,sigma_mu,galaxy_name,trgb_app,trgb_app_anchor,tip_contrast,n_stars,n_faint,phot_source,color_lo_f606w,color_hi_f606w,color_lo_f555w,color_hi_f555w,tau,bin_width,edge_weighting,poisson_floor,scale_factor,mag_bright,mag_faint,n_boot,status
n1448,31.1922,0.0553,NGC1448,27.3,25.505,3.58,2284,1482,EDD,1.0,1.5,1.6,2.1,0.18,0.01,hatt,1.0,0.8,,,500.0,ok
n1309,31.4442,0.0766,NGC1309,27.552,25.505,3.06,1133,755,EDD,1.0,1.5,1.6,2.1,0.18,0.01,poisson,1.0,1.0,,,500.0,ok
n1365,31.1807,0.0493,NGC1365,27.289,25.505,5.31,3957,2465,EDD,1.0,1.5,1.6,2.1,0.18,0.01,hatt,1.0,0.8,,,500.0,ok
n3021,31.1753,0.0876,NGC3021,27.284,25.505,2.57,1313,706,EDD,1.0,1.5,1.6,2.1,0.2,0.01,hatt,1.0,0.8,,,500.0,ok
n3370,31.1529,0.0655,NGC3370,27.261,25.505,2.13,1986,985,EDD,1.0,1.5,1.6,2.1,0.2,0.01,hatt,1.0,0.7,,,500.0,ok
n4038,31.1511,0.0513,NGC4038,27.259,25.505,2.8,14148,10402,EDD,1.0,1.5,1.6,2.1,0.2,0.01,hatt,1.0,0.8,,,500.0,ok
n4424,30.7953,0.06,NGC4424,26.904,25.505,5.16,3918,2870,EDD,1.1,1.5,1.6,2.1,0.18,0.01,hatt,1.0,1.0,,,500.0,ok
n4536,30.8181,0.0556,NGC4536,26.926,25.505,3.75,1486,1148,EDD,1.15,1.45,1.6,2.1,0.18,0.01,hatt,1.0,1.0,,,500.0,ok
n5584,31.4817,0.1255,NGC5584,27.571,25.486,2.57,69,46,EDD,,,,,,,,,,,,,ok
n5643,30.3374,0.0847,NGC5643,26.446,25.505,4.31,3686,2154,EDD,1.0,1.5,1.6,2.1,0.18,0.01,hatt,1.0,1.0,,,500.0,ok
m66,30.0835,0.0563,M66,26.192,25.505,7.9,4007,2631,EDD,1.2,1.5,1.6,2.1,0.18,0.01,hatt,1.0,1.0,,,500.0,ok
m96,30.1849,0.0649,M96,26.293,25.505,5.11,3449,2134,EDD,1.0,1.5,1.6,2.1,0.18,0.01,hatt,1.0,0.8,,,500.0,ok
n1316,31.2577,0.0556,NGC1316,27.366,25.505,7.87,2531,1581,EDD,1.1,1.5,1.6,2.1,0.18,0.01,hatt,1.0,0.8,,,500.0,ok
n1404,30.6881,0.0754,NGC1404,26.796,25.505,4.94,1403,850,EDD,1.1,1.5,1.6,2.1,0.18,0.01,hatt,1.0,0.7,,,500.0,ok
n4526,30.7876,0.0494,NGC4526,26.896,25.505,6.37,9341,6707,EDD,1.0,1.5,1.6,2.1,0.18,0.01,hatt,1.0,0.8,,,500.0,ok
n7814,30.6165,0.051,NGC7814,26.725,25.505,4.91,7404,5993,EDD,1.1,1.5,1.6,2.1,0.18,0.01,hatt,1.0,0.7,,,500.0,ok
m101,28.9359,0.055,M101,25.044,25.505,6.26,1934,660,EDD,1.0,1.5,1.6,2.1,0.18,0.01,hatt,1.0,0.8,,,500.0,
